country,points,price,province,region_1,region_2,variety,winery
Italy,86,,Sicily & Sardinia,Sicilia,,White Blend,Duca di Salaparuta
US,86,50,California,Dry Creek Valley,Sonoma,Red Blend,Envolve
US,86,20,California,Sonoma Valley,Sonoma,Sauvignon Blanc,Envolve
US,86,50,Oregon,McMinnville,Willamette Valley,Pinot Noir,Erath
Chile,86,15,Colchagua Valley,,,Viognier-Chardonnay,Estampa
Italy,86,21,Sicily & Sardinia,Sicilia,,Cabernet Sauvignon,Feudi del Pisciotto
Italy,86,11,Southern Italy,Puglia,,Primitivo,Feudi di San Marzano
Italy,86,12,Sicily & Sardinia,Sicilia,,Nero d'Avola,Feudo di Santa Tresa
Italy,86,17,Sicily & Sardinia,Sicilia,,Catarratto,Feudo Montoni
US,86,22,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Hawkins Cellars
France,86,9,Beaujolais,Beaujolais,,Gamay,Henry Fessy
US,86,14,California,Paso Robles,Central Coast,Sauvignon Blanc,Robert Hall
Chile,86,9,Maule Valley,,,Merlot,Sundance
US,86,40,Virginia,Virginia,,Red Blend,Tarara
Italy,86,13,Sicily & Sardinia,Sicilia,,Inzolia,Tasca d'Almerita
US,86,13,California,Lake County,,Riesling,The White Knight
US,86,16,Virginia,Monticello,,Sauvignon Blanc,Trump
France,86,14,Beaujolais,Brouilly,,Gamay,Vignerons de Bel Air
Italy,86,,Sicily & Sardinia,Sicilia,,Red Blend,Viticultori Associati Canicatti
Chile,85,22,Colchagua Valley,,,Petit Verdot,Casa Silva
Italy,85,14,Sicily & Sardinia,Monica di Sardegna,,Monica,Cantine di Dolianova
France,85,15,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château de Sours
Italy,85,,Sicily & Sardinia,Sicilia,,Red Blend,Corvo
US,85,30,California,Napa Valley,Napa,Chardonnay,RustRidge
US,85,14,California,North Coast,North Coast,Chardonnay,Souverain
Italy,85,13,Sicily & Sardinia,Sicilia,,Grillo,Tasca d'Almerita
Chile,85,13,Maipo Valley,,,Pinot Noir,Tres Palacios
US,86,55,Washington,Columbia Valley (WA),Columbia Valley,Malbec,Mellisoni
US,86,100,California,Napa Valley,Napa,Cabernet Sauvignon,Okapi
Italy,86,17,Central Italy,Romagna,,Sangiovese,Podere dal Nespoli
US,86,25,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Franc,Ram
France,86,58,Champagne,Champagne,,Champagne Blend,Roland Champion
US,86,26,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Sevtap
France,86,24,Burgundy,Chablis,,Chardonnay,Simonnet-Febvre
France,86,15,Burgundy,Mâcon-Milly Lamartine,,Chardonnay,Vignerons des Terres Secrètes
US,86,46,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Basel Cellars
US,86,12,California,California,California Other,Red Blend,Cocobon
France,86,55,Champagne,Champagne,,Champagne Blend,Collet
US,86,12,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Drumheller
US,86,40,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Eco Terreno
Italy,86,32,Southern Italy,Aglianico del Vulture,,Aglianico,Grifalco
US,86,75,California,Howell Mountain,Napa,Cabernet Sauvignon,Hindsight
US,86,55,California,Calistoga,Napa,Petite Sirah,Hindsight
US,86,75,California,Napa Valley,Napa,Bordeaux-style Red Blend,Mulvane Wine Co.
Germany,86,9,Rheinhessen,,,Riesling,Schmitt Söhne
Australia,86,18,South Australia,South Australia,,Chardonnay,Yalumba
US,86,25,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Z'IVO
Portugal,86,,Tejo,,,Touriga Nacional,Adega Cooperativa do Cartaxo
Chile,86,12,Rapel Valley,,,Carmenère,Aresti
Spain,86,16,Galicia,Rías Baixas,,Albariño,Spyro
France,86,11,France Other,Vin de France,,Petit Manseng,Lionel Osmin & Cie
Australia,86,20,South Australia,McLaren Vale,,Rosé,Mitolo
US,86,24,California,Napa Valley,Napa,Zinfandel,Napa Cellars
Germany,86,10,Rheinhessen,,,Riesling,P.J. Valckenberg
US,86,20,Washington,Ancient Lakes,Columbia Valley,Albariño,Palencia
US,86,55,California,Knights Valley,Sonoma,Merlot,Passaggio
Italy,86,29,Tuscany,Vernaccia di San Gimignano,,Vernaccia,Poggio Alloro
Italy,88,19,Tuscany,Toscana,,Rosato,Fattoria Sardi
US,88,23,California,Sonoma County,Sonoma,Red Blend,Ferrari-Carano
US,88,18,California,Sonoma Coast,Sonoma,Pinot Gris,Folie à Deux
US,88,55,California,Napa Valley,Napa,Meritage,Franciscan
Austria,88,12,Burgenland,,,Grüner Veltliner,Fuchs
US,88,22,Washington,Columbia Valley (WA),Columbia Valley,Viognier,Gård
France,88,20,Beaujolais,Juliénas,,Gamay,Henry Fessy
France,88,18,Beaujolais,Régnié,,Gamay,Henry Fessy
US,88,20,New York,Finger Lakes,Finger Lakes,Riesling,Heron Hill
Italy,88,30,Tuscany,Morellino di Scansano,,Sangiovese,Serpaia di Endrizzi
US,88,75,California,Napa Valley,Napa,Bordeaux-style Red Blend,Soquel Vineyards
US,88,18,New York,Finger Lakes,Finger Lakes,Pinot Gris,Ventosa
US,87,20,New York,Finger Lakes,Finger Lakes,Riesling,Lamoreaux Landing
US,87,20,New York,Finger Lakes,Finger Lakes,Riesling,Lamoreaux Landing
Chile,87,18,Leyda Valley,,,Chardonnay,Leyda
Italy,87,16,Tuscany,Toscana,,Red Blend,Madonna Alta
Italy,87,14,Tuscany,Toscana,,White Blend,Marchesi Antinori
Italy,87,30,Tuscany,Toscana,,Red Blend,Marchesi de' Frescobaldi
Italy,87,18,Tuscany,Toscana,,Vermentino,Marchesi de' Frescobaldi
US,87,26,California,Santa Clara Valley,Central Coast,Zinfandel,Martin Ranch
Italy,87,30,Tuscany,Toscana,,Red Blend,Ornellaia
France,87,23,Beaujolais,Brouilly,,Gamay,Pardon et Fils
US,87,85,California,Yountville,Napa,Cabernet Sauvignon,Piña
Italy,87,15,Tuscany,Toscana,,Red Blend,Podere Ciona
Italy,87,19,Tuscany,Toscana,,White Blend,Poggioventoso
US,87,18,California,Paso Robles,Central Coast,Bordeaux-style Red Blend,Pull
US,87,18,California,Paso Robles,Central Coast,Chardonnay,Pull
US,87,25,California,Santa Ynez Valley,Central Coast,Grenache Blanc,R2
US,87,44,California,Central Coast,,Syrah,Rideau
Italy,87,80,Tuscany,Toscana,,Red Blend,Tenuta Forconi
France,92,80,Alsace,Alsace,,Riesling,Dopff & Irion
Italy,92,70,Piedmont,Barolo,,Nebbiolo,Ceretto
US,92,36,California,Alexander Valley,Sonoma,Chardonnay,Matrix
US,92,39,California,Rockpile,Sonoma,Zinfandel,Mauritson
Australia,92,40,South Australia,Padthaway,,Shiraz-Cabernet Sauvignon,Henry's Drive Vignerons
US,92,45,California,Napa Valley,Napa,Cabernet Sauvignon,Silverado
South Africa,91,45,Stellenbosch,,,Cabernet Sauvignon,Le Riche
France,91,48,Alsace,Alsace,,Gewürztraminer,Pierre Sparr
France,91,13,Alsace,Alsace,,White Blend,Pierre Sparr
France,91,17,Alsace,Alsace,,Pinot Blanc,Kuentz-Bas
South Africa,91,25,Stellenbosch,,,Bordeaux-style Red Blend,Camberley
Italy,91,70,Piedmont,Barolo,,Nebbiolo,Ceretto
France,91,20,Alsace,Alsace,,Alsace white blend,Dopff & Irion
South Africa,91,30,Simonsberg-Stellenbosch,,,Cabernet Sauvignon,Delheim
Italy,91,68,Piedmont,Barolo,,Nebbiolo,Poderi Luigi Einaudi
US,91,78,California,Napa Valley,Napa,Cabernet Sauvignon,Clark-Clauden
Italy,91,60,Piedmont,Barolo,,Nebbiolo,Giacomo Ascheri
France,91,50,Bordeaux,Saint-Émilion,,Bordeaux-style Red Blend,Lassègue
South Africa,90,,Walker Bay,,,Chenin Blanc,Beaumont
France,90,10,Alsace,Alsace,,Alsace white blend,Dopff & Irion
France,90,112,Alsace,Alsace,,Pinot Gris,Kuentz-Bas
Italy,90,26,Piedmont,Barbera d'Alba,,Barbera,Poderi Colla
Italy,90,45,Piedmont,Barolo,,Nebbiolo,Giacomo Ascheri
US,90,17,California,Santa Lucia Highlands,Central Coast,Riesling,Banyan
France,90,84,Alsace,Alsace,,Pinot Gris,Domaine Zind-Humbrecht
US,91,85,California,Spring Mountain District,Napa,Cabernet Sauvignon,Terra Valentine
US,91,64,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Testarossa
US,91,68,California,Santa Ynez Valley,Central Coast,Cabernet Sauvignon,Vincent Vineyards
US,91,68,California,Santa Ynez Valley,Central Coast,Cabernet Sauvignon,Vincent Vineyards
Germany,91,16,Rheinhessen,,,Riesling,Weingut Liebfrauenstift
US,91,35,California,Monterey,Central Coast,Rhône-style Red Blend,Wrath
US,91,25,California,Napa Valley,Napa,Cabernet Sauvignon,Yardstick
Portugal,91,30,Alentejano,,,Portuguese White,Herdade Grande
US,91,55,California,Carmel Valley,Central Coast,Pinot Noir,Albatross Ridge
US,91,46,California,Paso Robles,Central Coast,Syrah,Alta Colina
Spain,91,50,Central Spain,Dominio de Valdepusa,,Graciano,Marques de Griñon
US,91,36,California,Santa Cruz Mountains,Central Coast,Syrah,Big Basin
Germany,91,14,Mosel,,,Riesling,Carl Graff
Portugal,91,26,Alentejano,,,Portuguese Red,Casa Santa Vitória
Italy,91,38,Tuscany,Chianti Classico,,Sangiovese,Castello di Gabbiano
Italy,91,,Tuscany,Brunello di Montalcino,,Sangiovese,Castello Romitorio
France,91,35,Southwest France,Cahors,,Malbec,Château Vincens
US,91,35,California,Paso Robles,Central Coast,Red Blend,Chronic Cellars
US,91,28,California,Edna Valley,Central Coast,Riesling,Claiborne & Churchill
France,91,,Beaujolais,Moulin-à-Vent,,Gamay,Collin-Bourisset
Chile,91,29,Aconcagua Valley,,,Red Blend,Conde de Velázquez
Chile,91,32,Maipo Valley,,,Cabernet Sauvignon,Cono Sur
France,91,25,Southwest France,Madiran,,Tannat-Cabernet,Domaine Berthoumieu
US,91,28,California,Paso Robles,Central Coast,Cabernet Franc,Dracaena
US,91,95,California,Napa Valley,Napa,Merlot,Duckhorn
US,91,44,California,Russian River Valley,Sonoma,Pinot Noir,Dutton-Goldfield
Germany,91,30,Mosel,,,Riesling,Fritz Haag
Germany,91,22,Mosel,,,Riesling,Fritz Haag
Chile,91,20,Loncomilla Valley,,,Cabernet Sauvignon,G7
US,91,38,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Le Cadeau
New Zealand,88,19,Marlborough,,,Sauvignon Blanc,Stoneleigh
Italy,88,25,Northeastern Italy,Alto Adige,,Sauvignon,Tenuta Peter Sölva & Söhne
Chile,88,50,Maipo Valley,,,Red Blend,TerraMater
Italy,88,22,Tuscany,Chianti Classico,,Sangiovese,Isole e Olena
US,88,25,California,Sonoma Valley,Sonoma,Syrah,Kenwood
France,88,27,Burgundy,Chablis,,Chardonnay,La Chablisienne
US,88,23,California,Santa Lucia Highlands,Central Coast,Chardonnay,Manzoni
US,88,36,California,Arroyo Seco,Central Coast,Pinot Noir,McIntyre Vineyards
Italy,88,,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Abbadia Ardenga
Argentina,88,12,Other,Salta,,Torrontés,Alamos
US,88,35,California,Sonoma Coast,Sonoma,Chardonnay,Anaba
Chile,88,15,Colchagua Valley,,,Carmenère,Apaltagua
US,88,40,California,Anderson Valley,,Pinot Noir,Harrington
Italy,88,48,Sicily & Sardinia,Sicilia,,Red Blend,Abbazia Santa Anastasia
Chile,88,11,Colchagua Valley,,,Merlot,Viña Bisquertt
Chile,87,11,Casablanca Valley,,,Chardonnay,Emiliana
Italy,87,26,Southern Italy,Campania,,Red Blend,Fattoria Alois
Australia,87,30,South Australia,Padthaway,,Cabernet Sauvignon,Henry's Drive Vignerons
Italy,87,20,Veneto,Rosso del Veronese,,Red Blend,Aldegheri
France,87,35,Burgundy,St.-Romain,,Chardonnay,Bertrand Ambroise
Italy,87,,Tuscany,Chianti Classico,,Sangiovese,Campomaggio
Italy,87,35,Tuscany,Vino Nobile di Montepulciano,,Prugnolo Gentile,Carpineto
Italy,87,18,Tuscany,Vernaccia di San Gimignano,,Vernaccia,Cesani
South Africa,90,23,Western Cape,,,Chenin Blanc,Spier
US,90,60,California,Napa Valley,Napa,Cabernet Sauvignon,Sequum
US,90,28,California,Nevada County,Sierra Foothills,Cabernet Franc,Sierra Starr
Italy,90,,Tuscany,Brunello di Montalcino,,Sangiovese,Tenuta di Sesta
Italy,90,62,Northeastern Italy,Alto Adige,,White Blend,Terlan
Israel,90,50,Judean Hills,,,Syrah,Yatir
Portugal,90,28,Alentejo,,,Portuguese Red,Adega Cooperativa de Borba
US,90,30,California,Paso Robles,Central Coast,G-S-M,J. Lohr
US,90,25,California,Arroyo Seco,Central Coast,Chardonnay,J. Lohr
US,90,25,California,Napa Valley,Napa,Cabernet Sauvignon,Courtney Benham
US,90,32,California,Dry Creek Valley,Sonoma,Zinfandel,Del Carlo Winery
South Africa,90,40,Coastal Region,,,White Blend,Delaire Graff
France,90,16,Rhône Valley,Côtes du Rhône,,Rhône-style Red Blend,Domaine St Pierre
South Africa,90,20,Western Cape,,,Chardonnay,Eikendal
France,90,32,Rhône Valley,Vacqueyras,,Rhône-style Red Blend,Famille Perrin
Spain,90,40,Northern Spain,Rueda,,Verdejo,Matarromera
US,90,48,California,Paso Robles,Central Coast,Red Blend,MCV
US,90,36,California,Dry Creek Valley,Sonoma,Rhône-style Red Blend,Mounts
Israel,90,80,Galilee,,,Bordeaux-style Red Blend,Or Haganuz
Italy,90,57,Tuscany,Brunello di Montalcino,,Sangiovese,Podere Scopetone
Portugal,90,20,Beira Atlantico,,,Portuguese Red,Quinta de Foz de Arouce
US,90,20,California,Napa Valley,Napa,Fumé Blanc,Robert Mondavi
Hungary,90,36,Tokaj,,,Furmint,Samuel Tinon
US,90,40,California,Sonoma Coast,Sonoma,Chardonnay,Sixteen by Twenty
Italy,90,40,Northeastern Italy,Alto Adige,,Pinot Bianco,St. Pauls
Italy,90,,Tuscany,Brunello di Montalcino,,Sangiovese,Talenti
Italy,90,,Northeastern Italy,Alto Adige,,Pinot Bianco,Terlan
Argentina,90,22,Mendoza Province,Luján de Cuyo,,Malbec,Mendel
South Africa,90,25,Stellenbosch,,,Chardonnay,Oldenburg
South Africa,90,20,Stellenbosch,,,Chenin Blanc,Oldenburg
US,85,15,New York,Finger Lakes,Finger Lakes,Pinot Noir,Wagner
US,85,14,New York,Cayuga Lake,Finger Lakes,Riesling,Treleaven
US,85,18,California,Napa Valley,Napa,Red Blend,Benessere
US,85,16,New York,Finger Lakes,Finger Lakes,Gewürztraminer,Bloomer Creek
Argentina,85,10,Mendoza Province,Mendoza,,Bonarda,Andean Sky
Australia,85,12,South Australia,South Australia,,Shiraz,Angove's
US,85,28,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Silvan Ridge
Italy,85,10,Central Italy,Montepulciano d'Abruzzo,,Montepulciano,Talamonti
US,85,49,California,Santa Barbara County,Central Coast,Syrah,Testarossa
US,85,85,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Meeker
Italy,85,18,Central Italy,San Marino,,Moscato,Consorzio Vini Tipici di San Marino
Australia,85,29,South Australia,McLaren Vale,,Grenache,D'Arenberg
US,85,36,California,Mendocino,,Cabernet Sauvignon,Dogwood
France,85,9,Southwest France,Vin de Pays des Côtes de Gascogne,,Ugni Blanc-Colombard,Domaine du Tariquet
US,85,34,California,Napa Valley,Napa,Sangiovese,Falcor
US,85,15,California,Russian River Valley,Sonoma,Chardonnay,Hayman & Hill
US,85,30,New York,Finger Lakes,Finger Lakes,Chardonnay,Hermann J. Wiemer
Spain,85,13,Northern Spain,Vino de la Tierra de Castilla y León,,Red Blend,J. & F. Lurton
Argentina,85,12,Other,San Juan,,Chardonnay,Finca Las Moras
Australia,85,15,South Australia,Adelaide Hills,,Sauvignon Blanc,Long Flat
US,85,25,California,Sonoma Mountain,Sonoma,Merlot,Work
US,85,45,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Amity
US,85,18,Virginia,Monticello,,Bordeaux-style Red Blend,Autumn Hill
US,85,49,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Blue Rock
US,85,22,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Cherry Hill
US,85,35,California,Amador County,Sierra Foothills,Zinfandel,Cloud 9
Argentina,85,15,Mendoza Province,Luján de Cuyo,,Malbec,Cueva de las Manos
US,89,45,California,St. Helena,Napa,Petite Sirah,David Fulton
US,89,55,California,Cole Ranch,,Pinot Noir,Esterlina
South Africa,89,20,Coastal Region,,,Syrah-Viognier,Goats do Roam Wine Co.
South Africa,89,18,Coastal Region,,,Red Blend,Graham Beck
South Africa,89,35,Stellenbosch,,,Cabernet Sauvignon,Hartenberg
France,89,13,Southwest France,Cahors,,Malbec,Vignobles 46N118
US,89,40,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Willamette Valley Vineyards
Argentina,89,37,Mendoza Province,,,Red Blend,Algodon
US,89,39,California,Napa Valley,Napa,Red Blend,Beaver Creek
US,89,60,California,Santa Maria Valley,Central Coast,Pinot Noir,Byron
South Africa,89,19,Stellenbosch,,,Syrah,Jardin
South Africa,89,40,Stellenbosch,,,Chardonnay,Jardin
Argentina,89,14,Mendoza Province,Mendoza,,Red Blend,Kaiken
Italy,89,40,Central Italy,Torgiano,,White Blend,Lungarotti
Italy,89,36,Veneto,Veneto,,White Blend,Marchesi Fumanelli
Austria,89,17,Leithaberg,,,Blaufränkisch,Mariell
Italy,89,25,Northeastern Italy,Colli Orientali del Friuli,,Friulano,Livio Felluga
Greece,89,15,Santorini,,,Assyrtico,My Big Fat Greek Wine
Italy,89,26,Northeastern Italy,Alto Adige,,Pinot Bianco,Nals Margreid
Argentina,89,19,Mendoza Province,Uco Valley,,Red Blend,O. Fournier
Italy,89,13,Piedmont,Monferrato,,White Blend,Pico Maccario
Argentina,89,30,Mendoza Province,Mendoza,,Cabernet Sauvignon,Sottano
US,89,20,California,Sonoma County,Sonoma,Zinfandel,St. Francis
US,89,30,California,Napa Valley,Napa,Cabernet Sauvignon,Trailhead
US,89,50,Oregon,Willamette Valley,,Pinot Noir,Erath
Italy,89,52,Northeastern Italy,Alto Adige,,Sauvignon,Franz Haas
Austria,92,24,Kremstal,,,Grüner Veltliner,Forstreiter
US,92,34,California,Santa Maria Valley,Central Coast,Pinot Noir,Cambria
Italy,92,41,Tuscany,Toscana,,Red Blend,I Giusti e Zanza
US,92,52,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,J. Christopher
Argentina,92,215,Mendoza Province,Perdriel,,Malbec,Viña Cobos
Austria,92,,Kremstal,,,Riesling,Salomon-Undhof
US,92,60,California,Arroyo Grande Valley,Central Coast,Pinot Noir,Talley
Spain,92,40,Catalonia,Montsant,,Carignan-Grenache,Acústic
Austria,92,,Kremstal,,,Grüner Veltliner,Josef Schmid
US,92,125,California,Napa Valley,Napa,Cabernet Sauvignon,Parallel
France,92,,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château Lafon-Rochet
Italy,92,,Central Italy,Sagrantino di Montefalco,,Sagrantino,Dionigi
France,92,45,France Other,Arbois,,Savagnin,Domaine Daniel Dugois
Australia,92,70,South Australia,Barossa Valley,,Shiraz,Kilikanoon
Argentina,92,30,Mendoza Province,Tupungato,,Malbec,Finca Sophenia
US,87,35,California,Paso Robles,Central Coast,Cabernet Sauvignon-Syrah,Treana
Chile,87,20,Maipo Valley,,,Cabernet Sauvignon,Ventisquero
US,87,15,California,Napa Valley,Napa,Cabernet Sauvignon,Aquinas
Chile,87,19,Aconcagua Valley,,,Cabernet Sauvignon,Arboleda
Italy,87,,Piedmont,Langhe,,Red Blend,Attilio Ghisolfi
US,87,28,California,Napa Valley,Napa,Sangiovese,Benessere
US,87,14,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Buried Cane
Italy,87,,Piedmont,Roero,,Nebbiolo,Cantina del Nebbiolo
Italy,87,56,Piedmont,Barolo,,Nebbiolo,Cascina Adelaide
Italy,87,,Piedmont,Barbera d'Asti Superiore Nizza,,Barbera,Cascina La Ghersa
US,87,24,California,Mendocino County,,Zinfandel,Claudia Springs
Romania,87,7,Recas,,,Chardonnay,Cramele Recas
France,87,30,Burgundy,Côte de Nuits-Villages,,Pinot Noir,Domaine Bertagna
Greece,87,18,Santorini,,,White Blend,Domaine Sigalas
Italy,87,20,Piedmont,Langhe,,Nebbiolo,Socré
Italy,87,18,Piedmont,Langhe,,Nebbiolo,Boffa
New Zealand,87,18,Hawke's Bay,,,Syrah,Otto's Constant Dream
US,87,40,California,Napa Valley,Napa,Cabernet Sauvignon,Mount Veeder
Italy,87,,Piedmont,Roero,,Nebbiolo,Rabino
US,87,28,California,Napa Valley,Napa,Cabernet Sauvignon,Robert Mondavi
Italy,86,15,Veneto,Prosecco di Valdobbiadene,,Prosecco,Bellussi
France,86,,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Mont-Pérat
France,86,,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Tour de Mirambeau
Chile,86,18,Curicó Valley,,,Merlot,Aresti
Italy,86,20,Veneto,Veneto,,Prosecco,Paladin
Italy,86,22,Veneto,Prosecco di Valdobbiadene,,Prosecco,Perlage
Italy,86,16,Veneto,Prosecco di Valdobbiadene,,Prosecco,Sant Eurosia
Italy,86,18,Veneto,Prosecco di Valdobbiadene,,Prosecco,Sant Eurosia
Chile,86,35,Colchagua Valley,,,Cabernet Sauvignon,J. & F. Lurton
Italy,86,12,Veneto,Prosecco di Conegliano,,Prosecco,L'Antica Quercia
US,86,11,New York,Finger Lakes,Finger Lakes,Vignoles,Lucas Vineyards
Italy,86,15,Veneto,Prosecco di Valdobbiadene,,Prosecco,Marsuret
Chile,86,18,Limarí Valley,,,Chardonnay,De Martino
US,86,16,California,Knights Valley,Sonoma,White Blend,Beringer
US,86,34,California,Mendocino,,Zinfandel,Brutocao
US,86,40,California,Central Coast,Central Coast,Red Blend,Clos La Chance
Chile,86,15,Casablanca Valley,,,Gewürztraminer,Cono Sur
Italy,86,19,Veneto,Prosecco di Conegliano,,Prosecco,Sommariva
Italy,86,18,Veneto,Prosecco di Valdobbiadene,,Prosecco,Spagnol
France,86,42,Champagne,Champagne,,Champagne Blend,Jacquart
Italy,86,15,Veneto,Prosecco di Conegliano,,Prosecco,L'Antica Quercia
Chile,83,35,Colchagua Costa,,,Pinot Noir,Koyle
France,83,16,Languedoc-Roussillon,Languedoc,,Rosé,Château Notre Dame du Quatourze
France,82,11,Provence,Coteaux Varois en Provence,,Rosé,Mémoires
Spain,82,13,Catalonia,Cava,,Sparkling Blend,Cavas Hill
France,82,18,Alsace,Alsace,,Pinot Gris,Antoine Moltès & Fils
US,82,48,California,Dry Creek Valley,Sonoma,Zinfandel,Pezzi King
Spain,82,11,Catalonia,Cava,,Sparkling Blend,Bellisco
Chile,81,20,Rapel Valley,,,Pinot Noir,Pura 8
Chile,80,19,Leyda Valley,,,Chardonnay,Viña Tarapacá
Australia,100,350,Victoria,Rutherglen,,Muscat,Chambers Rosewood Vineyards
Australia,98,350,Victoria,Rutherglen,,Muscadelle,Chambers Rosewood Vineyards
Germany,97,775,Rheingau,,,Riesling,Robert Weil
Australia,97,100,Victoria,Rutherglen,,Muscat,Chambers Rosewood Vineyards
Australia,97,225,South Australia,Barossa,,Shiraz-Viognier,Torbreck
Italy,97,150,Piedmont,Barolo,,Nebbiolo,Cavallotto
Hungary,96,320,Tokaji,,,Furmint,Oremus
US,96,68,California,Russian River Valley,Sonoma,Chardonnay,Rochioli
France,96,630,Burgundy,Montrachet,,Chardonnay,Louis Latour
Germany,96,365,Rheingau,,,Riesling,Robert Weil
US,96,68,California,Russian River Valley,Sonoma,Chardonnay,Rochioli
Australia,95,85,Victoria,Heathcote,,Shiraz,Jasper Hill
France,95,350,Burgundy,Clos de Vougeot,,Pinot Noir,Château de la Tour
Germany,95,66,Rheingau,,,Riesling,Weingut Hans Bausch
France,95,110,Burgundy,Chassagne-Montrachet,,Chardonnay,Philippe Colin
Australia,95,125,South Australia,Barossa Valley,,Shiraz-Viognier,Torbreck
Italy,95,60,Piedmont,Barolo,,Nebbiolo,Bel Colle
US,95,200,California,Diamond Mountain District,Napa,Cabernet Sauvignon,J. Davies
France,95,380,Burgundy,Criots-Bâtard-Montrachet,,Chardonnay,Louis Latour
US,95,48,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Winderlea
Australia,95,60,South Australia,Clare Valley,,Shiraz,Wakefield
Italy,88,21,Northeastern Italy,Alto Adige,,Pinot Bianco,Cantina Terlano
Chile,88,10,Maipo Valley,,,Carmenère,De Martino
Italy,88,11,Veneto,Bianco di Custoza,,Garganega,Montresor
Italy,88,21,Northeastern Italy,Friuli,,Chardonnay,Ronco del Gelso
US,88,160,California,Sonoma Valley,Sonoma,Cabernet Sauvignon,Sebastiani
Italy,88,23,Northeastern Italy,Alto Adige,,Sauvignon Blanc,Elena Walch
Italy,88,10,Veneto,Soave,,White Blend,Gini
Italy,88,15,Northeastern Italy,Collio,,Sauvignon Blanc,Borgo Conventi
US,88,19,California,Mendocino County,,Sauvignon Blanc,Ceago Vinegarden
